instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,workingday_status,holiday_status,temp_actual,temp_group
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Winter,Workday,Non-holiday,4.506089000000001,Cold
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Winter,Workday,Non-holiday,6.958267000000001,Cold
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Winter,Workday,Non-holiday,12.484151,Normal
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Winter,Workday,Non-holiday,16.518349,Normal
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Winter,Day-off,Non-holiday,10.760849,Normal
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Winter,Day-off,Non-holiday,5.405199,Cold
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Winter,Day-off,Holiday,6.2566510000000015,Cold
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Winter,Workday,Non-holiday,0.5644340000000003,Cold
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Winter,Workday,Non-holiday,2.4217329999999997,Cold
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Winter,Workday,Non-holiday,5.895644000000001,Cold
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Winter,Workday,Non-holiday,9.124355999999999,Cold
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Winter,Day-off,Non-holiday,5.277499999999998,Cold
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Winter,Day-off,Non-holiday,8.143466,Cold
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Winter,Workday,Non-holiday,11.141831,Normal
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Winter,Workday,Non-holiday,4.533348999999999,Cold
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Winter,Workday,Non-holiday,7.745000000000001,Cold
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Winter,Workday,Non-holiday,1.321651000000001,Cold
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Winter,Workday,Non-holiday,4.298349,Cold
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Winter,Day-off,Non-holiday,10.055848999999998,Normal
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Winter,Day-off,Non-holiday,9.696534,Cold
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Winter,Workday,Non-holiday,4.3017330000000005,Cold
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Winter,Workday,Non-holiday,5.747499999999999,Cold
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Winter,Workday,Non-holiday,5.904151000000001,Cold
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Winter,Workday,Non-holiday,10.287277,Normal
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Winter,Workday,Non-holiday,6.876534000000001,Cold
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Winter,Day-off,Non-holiday,7.470848999999999,Cold
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Winter,Day-off,Non-holiday,10.064356,Normal
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Winter,Workday,Non-holiday,7.285198999999999,Cold
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Winter,Workday,Non-holiday,6.917376999999998,Cold
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Winter,Workday,Non-holiday,9.165199000000001,Cold
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Winter,Workday,Non-holiday,11.504999999999999,Normal
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Winter,Workday,Non-holiday,17.380000000000003,Normal
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Winter,Day-off,Non-holiday,14.2075,Normal
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Winter,Day-off,Non-holiday,7.627500000000001,Cold
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Spring,Workday,Non-holiday,12.230445,Normal
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Spring,Workday,Non-holiday,12.758348999999999,Normal
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Spring,Workday,Non-holiday,8.306979000000002,Cold
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Spring,Workday,Non-holiday,5.395,Cold
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Spring,Workday,Non-holiday,4.415849,Cold
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Spring,Day-off,Non-holiday,4.494150999999999,Cold
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Spring,Day-off,Non-holiday,3.893021000000001,Cold
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Spring,Workday,Non-holiday,4.424356000000001,Cold
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Spring,Workday,Non-holiday,6.217499999999999,Cold
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Spring,Workday,Non-holiday,6.1,Cold
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Spring,Workday,Non-holiday,4.611651,Cold
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Spring,Workday,Non-holiday,6.1,Cold
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Spring,Day-off,Non-holiday,6.805,Cold
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Spring,Day-off,Non-holiday,9.781651,Cold
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Spring,Workday,Non-holiday,18.946651,Normal
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Spring,Workday,Non-holiday,11.465848999999999,Normal
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Spring,Workday,Non-holiday,10.369150999999999,Normal
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Spring,Workday,Non-holiday,12.5625,Normal
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Spring,Workday,Non-holiday,7.784151,Cold
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Spring,Day-off,Non-holiday,8.0975,Cold
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Spring,Day-off,Non-holiday,12.053349,Normal
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Spring,Workday,Non-holiday,19.995644,Normal
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Spring,Workday,Non-holiday,15.617499999999996,Normal
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Spring,Workday,Non-holiday,11.3875,Normal
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Spring,Workday,Non-holiday,13.9725,Normal
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Spring,Day-off,Holiday,12.993348999999998,Normal
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Spring,Day-off,Non-holiday,12.249151000000001,Normal
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Spring,Day-off,Non-holiday,13.463349000000001,Normal
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Spring,Workday,Non-holiday,16.0875,Normal
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Spring,Workday,Non-holiday,15.774151,Normal
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Spring,Workday,Non-holiday,19.965,Normal
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Spring,Workday,Non-holiday,13.580849,Normal
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Spring,Workday,Non-holiday,7.823349,Cold
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Spring,Day-off,Non-holiday,13.620000000000001,Normal
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Spring,Day-off,Non-holiday,19.338349,Normal
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Spring,Workday,Non-holiday,20.513348999999998,Normal
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Spring,Workday,Non-holiday,21.688349,Normal
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Spring,Workday,Non-holiday,21.14,Normal
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Spring,Workday,Non-holiday,21.0225,Normal
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Spring,Workday,Non-holiday,15.969999999999999,Normal
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Spring,Day-off,Non-holiday,14.2075,Normal
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Spring,Day-off,Non-holiday,13.228348999999998,Normal
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Spring,Workday,Non-holiday,17.810848999999997,Normal
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Spring,Workday,Non-holiday,20.983348999999997,Normal
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Spring,Workday,Non-holiday,11.465848999999999,Normal
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Spring,Workday,Non-holiday,13.580849,Normal
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Spring,Workday,Non-holiday,14.520849000000002,Normal
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Spring,Day-off,Non-holiday,16.44,Normal
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Spring,Day-off,Non-holiday,16.831651,Normal
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Spring,Workday,Non-holiday,17.0275,Normal
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Spring,Workday,Non-holiday,17.0275,Normal
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Spring,Workday,Non-holiday,17.4975,Normal
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Spring,Workday,Non-holiday,17.145000000000003,Normal
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Spring,Workday,Non-holiday,16.0875,Normal
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Spring,Day-off,Non-holiday,16.479150999999998,Normal
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Spring,Day-off,Non-holiday,18.4375,Normal
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Spring,Workday,Non-holiday,19.142500000000002,Normal
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Spring,Workday,Non-holiday,18.398349,Normal
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Spring,Workday,Non-holiday,17.85,Normal
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Spring,Workday,Non-holiday,16.949151,Normal
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Spring,Workday,Non-holiday,17.223349,Normal
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Spring,Day-off,Non-holiday,20.317500000000003,Normal
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Spring,Day-off,Non-holiday,20.395849000000002,Normal
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Spring,Workday,Non-holiday,21.688349,Normal
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Spring,Workday,Non-holiday,23.020000000000003,Normal
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Spring,Workday,Non-holiday,23.059151,Normal
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Spring,Workday,Non-holiday,25.291651,Warm
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Spring,Workday,Non-holiday,24.038349000000004,Normal
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Spring,Day-off,Non-holiday,22.824151,Normal
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Spring,Day-off,Non-holiday,23.3725,Normal
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Spring,Day-off,Holiday,26.466651,Warm
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Spring,Workday,Non-holiday,28.425000000000004,Warm
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Spring,Workday,Non-holiday,27.915849,Warm
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Spring,Workday,Non-holiday,25.604999999999997,Warm
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Spring,Workday,Non-holiday,21.14,Normal
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Spring,Day-off,Non-holiday,21.845,Normal
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Spring,Day-off,Non-holiday,22.471651,Normal
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Spring,Workday,Non-holiday,23.881650999999998,Normal
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Spring,Workday,Non-holiday,25.252499999999998,Warm
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Spring,Workday,Non-holiday,28.464151,Warm
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Spring,Workday,Non-holiday,29.991650999999997,Warm
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Spring,Workday,Non-holiday,27.485,Warm
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Spring,Day-off,Non-holiday,26.074999999999996,Warm
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Spring,Day-off,Non-holiday,24.5475,Normal
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Spring,Workday,Non-holiday,21.845,Normal
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Spring,Workday,Non-holiday,20.395849000000002,Normal
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Spring,Workday,Non-holiday,21.453349,Normal
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Spring,Workday,Non-holiday,21.531651,Normal
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Spring,Workday,Non-holiday,22.510849000000004,Normal
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Spring,Day-off,Non-holiday,24.743349000000002,Normal
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Spring,Day-off,Non-holiday,24.860849,Normal
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Spring,Workday,Non-holiday,21.845,Normal
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Summer,Workday,Non-holiday,23.999151,Normal
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Summer,Workday,Non-holiday,26.466651,Warm
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Summer,Workday,Non-holiday,26.231651,Warm
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Summer,Workday,Non-holiday,26.035849,Warm
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Summer,Day-off,Non-holiday,24.665,Normal
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Summer,Day-off,Non-holiday,23.96,Normal
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Summer,Workday,Non-holiday,24.0775,Normal
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Summer,Workday,Non-holiday,26.975849000000004,Warm
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Summer,Workday,Non-holiday,26.231651,Warm
